gene	normal_1	normal_2	normal_3	normal_4	normal_5	normal_6	normal_7	normal_8	tumor_1	tumor_2	tumor_3	tumor_4	tumor_5	tumor_6	tumor_7	tumor_8
gene18308	246	244	65	320	108	400	130	87	144	80	86	112	350	107	110	232
gene18309	144	174	75	127	90	265	91	77	61	90	31	45	344	85	43	119
gene18310	30	54	31	41	49	178	42	31	30	25	12	21	164	9	10	63
gene18311	24	0	1	0	2	2	13	2	2	2	1	1	51	4	1	2
gene18312	53	37	3	32	6	32	15	12	4	9	2	29	59	10	0	5
gene18313	652	950	269	462	311	1367	377	205	351	310	246	295	1235	174	158	493
gene18314	2028	3494	987	3734	1375	5042	1835	1128	2142	1497	607	1299	5613	708	986	2561
gene18315	557	660	249	595	237	1068	390	281	278	224	134	334	1129	221	172	495
gene18316	29	73	19	36	7	98	34	10	16	17	5	17	26	7	7	41
gene18317	0	0	0	0	0	5	0	0	2	0	0	1	0	0	0	0
gene18318	151	134	60	159	75	316	74	90	110	70	32	68	296	47	51	97
gene18319	6597	7002	2437	5012	2362	12730	4197	2499	3746	1939	1456	2807	9839	1996	1658	4797
gene18320	6	20	11	41	6	18	16	0	4	2	4	4	37	4	0	25
gene18321	122	115	72	138	53	351	111	75	115	40	21	57	432	86	57	150
gene18322	806	760	321	944	329	1966	521	319	81	78	54	89	523	60	57	195
gene18323	17	63	15	19	11	82	29	17	16	18	5	14	127	7	8	67
gene18324	130	104	35	115	52	109	74	62	60	39	24	69	153	17	10	153
gene18325	115	89	46	46	34	138	54	35	34	35	19	39	99	23	33	91
gene18326	146	171	38	104	49	325	68	38	66	26	28	69	213	54	38	111
gene18327	27	62	19	19	15	76	8	8	23	23	27	56	85	26	56	70
gene18328	223	179	108	277	52	505	158	65	103	88	56	133	421	71	87	269
gene18329	154	181	34	106	47	217	67	37	64	20	24	77	286	70	31	104
gene18330	40	5	4	59	8	36	11	22	19	10	9	11	57	6	10	14
gene18331	18	5	6	16	7	45	16	0	8	6	1	7	89	0	17	6
gene18332	0	0	0	0	0	0	0	1	0	3	0	0	0	3	0	1
gene18333	1404	1773	432	1060	489	2665	951	557	848	463	259	776	2656	546	393	1642
gene18334	1	5	3	2	8	20	7	4	8	3	2	2	23	13	0	10
gene18335	46	116	15	53	17	290	77	25	31	37	23	27	147	22	20	46
gene18336	78	78	35	83	36	100	59	48	53	41	17	71	90	27	23	52
gene18337	146	86	34	92	44	225	90	70	57	72	48	39	236	23	33	99
gene18338	6	7	9	2	14	45	5	8	3	1	3	2	39	11	7	18
gene18339	0	0	0	1	0	1	0	0	1	0	4	0	8	0	0	0
gene18340	244	310	97	153	107	496	165	149	161	75	68	132	550	70	75	242
gene18341	0	37	2	2	3	8	3	2	0	4	0	2	0	4	0	3
gene18342	21	66	4	11	3	18	6	5	10	14	2	17	34	4	4	34
gene18343	49	55	9	22	19	87	22	35	23	26	5	22	54	2	14	62
gene18344	401	710	263	505	229	1013	425	264	214	165	139	271	1084	163	90	493
gene18345	635	675	350	824	296	1508	454	257	303	289	155	303	1403	222	124	536
gene18346	6726	8268	2605	5627	2910	15909	4641	3748	5175	2960	1788	3536	12278	2431	2012	8138
gene18347	9	4	0	4	0	46	3	4	3	0	2	4	19	14	3	3
gene18348	13	27	7	6	10	44	3	4	0	0	0	0	5	0	1	2
gene18349	82	118	43	66	38	209	65	63	86	25	24	30	281	40	13	93
gene18350	91	102	51	184	35	71	39	48	50	17	22	39	181	43	11	74
gene18351	1354	1477	637	1325	474	2101	907	560	824	653	303	563	2488	433	308	1027
gene18352	0	11	3	6	1	18	0	1	1	0	1	2	1	0	0	3
gene18353	75	64	45	82	43	65	29	48	14	12	7	32	37	16	8	36
gene18354	2	8	6	4	2	5	9	6	5	3	2	0	10	12	2	8
gene18355	218	153	114	149	91	471	192	87	74	89	44	68	318	47	34	280
gene18356	58	50	27	8	18	53	27	10	37	11	8	31	156	9	18	61
gene18357	1	8	15	14	11	93	15	1	1	2	2	6	27	0	9	10
gene18358	17	13	2	7	3	5	8	10	3	0	5	19	50	0	3	12
gene18359	10	22	11	7	12	11	0	6	18	12	13	13	43	5	13	11
gene18360	598	884	368	911	410	2290	465	359	403	193	197	460	1844	366	208	689
gene18361	4	4	2	1	0	4	0	5	0	4	5	0	1	0	1	0
gene18362	4	7	2	0	0	0	2	2	0	0	0	0	0	0	0	0
gene18363	176	176	72	137	55	474	90	76	138	63	52	83	315	27	71	136
gene18364	544	706	315	812	309	1422	476	231	393	290	148	321	1538	178	233	603
gene18365	211	411	98	282	109	528	163	116	184	87	64	156	626	91	61	233
gene18366	2	6	3	3	5	47	2	0	3	5	6	0	19	6	2	11
gene18367	1182	1632	744	1128	638	2819	746	603	884	688	314	567	2016	281	334	1117
gene18368	499	505	226	344	189	663	360	319	246	206	104	293	1001	141	117	405
gene18369	979	741	254	1030	267	1803	499	341	428	369	270	493	1732	364	366	1019
gene18370	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gene18371	29	43	32	44	27	125	34	24	28	11	21	14	41	14	5	31
gene18372	33	45	14	30	11	63	20	13	37	11	12	6	27	16	3	21
gene18373	101	95	38	49	22	111	34	41	19	26	26	51	71	9	22	65
gene18374	80	166	31	84	73	188	65	38	8	5	4	24	37	5	3	18
gene18375	4	4	1	4	0	1	1	2	0	3	0	1	34	0	3	8
gene18376	862	1235	260	1273	325	1928	743	513	94	67	30	75	262	55	68	145
gene18377	142	126	90	157	43	221	110	70	52	45	38	105	209	19	27	145
gene18378	0	0	0	0	0	13	0	0	0	0	4	0	0	0	0	0
gene18379	0	0	0	0	3	0	0	0	3	1	3	8	3	3	1	0
gene18380	24	41	15	30	8	30	24	33	32	13	14	25	108	11	14	68
gene18381	263	292	108	214	95	514	142	59	149	77	64	105	498	82	87	233
gene18382	6	16	13	3	1	41	5	15	2	0	4	0	24	6	0	3
gene18383	80	88	37	139	58	112	64	27	81	48	15	17	184	12	9	59
gene18384	9	17	8	18	12	55	27	13	6	3	2	5	59	4	7	12
gene18385	181	309	76	197	109	482	167	91	96	53	46	79	544	93	77	147
gene18386	114	104	53	99	62	386	59	70	78	95	36	68	275	35	41	156
gene18387	61	40	10	49	21	104	14	20	25	25	4	10	91	16	8	29
gene18388	104	51	31	35	19	169	35	14	40	16	4	47	261	14	25	52
gene18389	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0
gene18390	1447	2126	416	1175	689	2295	951	765	735	483	281	794	2558	386	455	934
gene18391	232	232	138	195	96	323	128	74	82	64	43	111	496	53	43	155
gene18392	5	25	3	17	21	35	9	20	13	4	0	3	31	11	12	22
gene18393	0	0	1	12	0	0	2	0	7	1	0	4	1	0	4	10
gene18394	109	111	86	128	72	340	104	68	100	89	31	60	309	33	47	123
gene18395	5	34	4	22	4	17	7	3	13	6	8	1	53	0	14	15
gene18396	540	909	335	729	226	1518	374	439	514	275	222	409	1415	202	251	616
gene18397	172	272	95	117	86	646	149	118	113	100	42	102	497	60	48	211
gene18398	65	145	48	42	31	86	40	23	44	23	16	27	140	34	11	68
gene18399	212	197	81	348	102	338	229	117	150	58	37	105	438	87	61	206
gene18400	165	327	96	216	52	544	85	138	138	115	40	88	333	68	58	235
gene18401	302	281	126	307	166	550	202	181	176	126	94	152	577	126	72	302
gene18402	1	3	0	1	0	6	4	5	0	0	0	0	1	0	0	1
gene18403	64	158	35	91	38	128	49	46	70	53	12	54	152	44	46	62
gene18404	24	41	8	50	13	149	13	33	134	61	28	99	249	42	64	203
gene18405	902	1391	482	1273	454	2719	1297	502	693	508	218	553	2771	353	281	1577
gene18406	109	156	38	104	51	101	36	47	76	42	15	21	250	38	24	64
gene18407	0	0	3	0	4	4	0	1	0	0	12	0	53	0	0	0
gene18408	681	556	214	637	292	1213	265	253	1488	1074	861	1759	6676	611	894	3039
gene18409	1	1	5	1	0	0	1	0	0	1	0	0	2	3	4	2
gene18410	225	226	119	141	92	519	186	77	133	77	66	120	282	58	80	236
gene18411	13	13	9	1	7	5	9	21	3	7	1	8	42	9	2	9
gene18412	25	33	14	33	7	22	18	9	59	75	44	43	120	67	40	99
gene18413	36	11	14	17	8	61	18	4	8	11	3	5	19	4	11	12
gene18414	85	67	49	95	22	160	47	39	53	48	16	40	233	35	31	119
gene18415	30	127	40	33	24	90	15	15	15	13	8	27	105	31	21	40
gene18416	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene18417	307	246	122	233	133	380	149	78	186	70	62	146	405	92	68	245
gene18418	16	14	2	4	4	25	2	4	9	1	0	1	19	2	4	5
gene18419	39	71	14	58	19	75	29	27	41	24	14	13	105	8	28	71
gene18420	62	91	13	16	15	33	11	8	35	21	7	14	25	27	19	50
gene18421	12	2	12	9	3	15	1	1	5	1	7	0	3	13	7	18
gene18422	601	746	249	786	196	1376	385	282	387	295	187	384	1262	258	185	662
gene18423	37	16	14	0	1	6	4	21	3	7	0	11	29	6	12	9
gene18424	31	49	10	25	23	94	29	23	18	16	28	14	105	31	4	35
gene18425	803	1084	235	711	252	1518	472	228	248	263	162	392	1315	224	159	895
gene18426	57169	56112	21807	59980	22933	108622	44561	32719	34398	20434	15169	24299	155591	24342	15803	48386
gene18427	71	44	16	47	19	133	54	12	27	34	15	49	148	15	23	26
gene18428	99	125	54	174	38	246	88	34	74	49	16	73	365	36	22	81
gene18429	18	7	4	32	9	44	6	4	8	4	5	13	10	4	4	0
gene18430	546	744	238	563	215	1236	310	329	355	260	156	311	1029	170	162	629
gene18431	4486	6452	2704	4985	2343	11282	3184	2265	3143	2232	1310	2034	7220	1142	1386	3787
gene18432	1	2	0	8	1	23	14	0	0	0	0	0	0	0	10	5
gene18433	67	47	12	36	13	74	40	14	1	2	1	6	22	3	7	13
gene18434	0	1	0	4	0	2	0	0	0	0	0	0	0	0	0	0
gene18435	2695	3745	1572	2979	1090	5125	1846	1493	1658	974	730	1358	7690	796	745	2502
gene18436	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
gene18437	22	34	10	42	17	49	15	11	7	10	7	14	12	5	11	9
gene18438	36	55	18	51	11	52	20	4	14	19	3	19	49	17	28	63
gene18439	4884	5880	1017	3579	1534	6052	1897	1305	1589	1517	1003	1525	6056	1024	1340	3616
gene18440	4576	5311	1299	4586	2226	9146	3777	1893	2052	1358	1035	2060	8599	1169	1161	3724
gene18441	815	871	218	563	275	794	395	301	298	134	181	410	1245	251	157	772
gene18442	1311	1472	592	1319	509	2757	1152	564	896	398	294	575	3094	525	481	1493
gene18443	385	635	235	553	188	698	291	282	239	168	90	210	874	173	158	438
gene18444	254	356	136	178	101	427	173	71	187	96	64	94	703	98	66	162
gene18445	184	162	85	265	58	391	124	90	26	20	15	21	66	13	13	49
gene18446	3	3	0	0	2	2	5	10	5	12	0	17	14	8	1	1
gene18447	9	41	19	10	6	22	3	4	1	3	4	13	15	1	5	19
gene18448	173	205	64	179	81	300	57	128	108	65	40	112	340	62	89	204
gene18449	16425	16525	8552	15545	6908	35314	13207	8693	10303	8654	5325	10413	33709	4157	3452	16154
gene18450	5	13	3	2	0	0	4	1	6	3	0	10	2	4	0	9
gene18451	601	722	367	943	272	1709	489	534	413	308	177	342	1388	290	239	853
gene18452	46	68	37	67	35	103	69	45	44	30	20	19	192	28	24	62
gene18453	39	32	9	2	7	62	8	2	18	9	8	11	43	7	3	8
gene18454	429	513	233	378	174	544	217	160	120	95	53	90	430	111	69	149
gene18455	593	985	248	499	454	1119	522	401	434	243	144	405	1915	340	177	528
gene18456	46	23	17	21	19	65	11	15	24	14	2	7	55	16	12	12
gene18457	1608	1486	712	1398	879	2040	1083	593	890	530	364	694	3390	538	412	1458
gene18458	0	0	3	2	3	21	4	1	7	4	2	0	1	5	0	14
gene18459	117	184	52	138	75	307	65	64	55	62	20	59	300	74	59	156
gene18460	737	607	299	441	147	864	454	269	354	187	126	234	638	207	153	415
gene18461	1346	1843	688	1517	662	2882	698	902	1616	1288	865	1593	6740	1385	951	3668
gene18462	36	14	28	20	12	39	2	20	45	102	34	61	134	88	11	160
gene18463	3	5	0	1	0	1	0	0	0	0	0	1	3	0	1	1
gene18464	25	28	7	12	11	81	7	10	7	3	8	15	45	3	3	11
gene18465	194	154	57	191	65	277	84	73	121	77	21	99	209	32	62	138
gene18466	19	26	9	29	11	41	5	8	59	18	34	42	24	8	5	31
gene18467	15	23	10	2	6	5	6	2	3	0	0	6	1	2	0	8
gene18468	35	89	33	48	51	113	40	38	44	22	15	48	119	23	30	67
gene18469	45	28	6	29	10	81	24	15	28	10	11	44	36	9	29	103
gene18470	1	1	1	0	2	3	0	0	1	1	2	1	3	2	0	3
gene18471	99	144	51	112	38	244	76	74	61	28	17	29	196	25	39	93
gene18472	1805	2811	775	1921	610	3766	1560	844	1163	754	532	843	3977	932	667	1937
gene18473	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0
gene18474	116	131	36	124	67	122	28	44	66	63	33	53	283	46	20	98
gene18475	310	243	84	209	101	417	150	97	131	113	56	97	591	61	65	280
gene18476	73	64	16	60	39	167	33	13	12	29	11	21	129	5	15	58
gene18477	22	31	9	40	4	51	10	7	7	5	0	6	36	1	15	21
gene18478	477	472	164	516	191	677	225	158	342	256	157	303	1244	238	153	633
gene18479	3	11	18	10	3	15	6	10	30	6	5	17	76	13	10	7
gene18480	180	237	57	133	87	520	96	98	61	129	29	87	372	71	52	160
gene18481	52	18	10	25	26	29	65	16	24	21	8	5	43	6	12	21
gene18482	4	0	6	1	4	1	0	2	3	4	0	10	28	0	0	5
gene18483	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0
gene18484	689	846	280	622	275	1669	569	273	315	272	232	330	1418	220	232	653
gene18485	30	78	37	22	7	108	31	21	53	15	17	28	37	7	5	23
gene18486	175	136	63	87	83	276	76	50	69	59	37	86	272	20	25	95
gene18487	595	789	271	492	257	1285	279	284	361	166	123	230	987	173	167	393
gene18488	115	116	96	226	75	424	159	82	134	50	42	116	562	87	46	275
gene18489	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0
gene18490	18	17	10	11	7	18	11	7	17	8	6	5	38	13	11	10
gene18491	75	105	39	92	49	235	57	47	33	38	21	47	251	23	22	99
gene18492	430	463	214	358	298	997	252	220	269	167	135	275	1116	170	140	377
gene18493	0	0	0	0	1	3	0	2	5	1	0	0	7	0	0	1
gene18494	49	72	11	26	10	62	14	7	6	3	0	12	67	9	5	11
gene18495	9	2	2	0	1	1	3	0	0	0	1	0	0	0	3	11
gene18496	8	0	6	16	7	31	32	9	9	9	7	12	24	2	8	10
gene18497	2	0	0	9	0	6	0	1	1	1	0	0	0	1	0	0
gene18498	667	970	365	876	336	1757	418	307	478	306	193	537	1680	273	204	565
gene18499	1661	1563	721	1598	642	3572	1104	863	920	467	376	812	3705	590	557	1523
gene18500	45	39	29	62	28	138	26	20	20	26	14	16	93	43	7	28
gene18501	3106	5001	1550	5231	1298	6348	3130	1832	1802	1607	1135	2061	11505	1288	1697	3787
gene18502	40	26	10	10	11	176	12	28	9	16	6	22	54	12	13	32
gene18503	49	37	8	35	9	64	21	29	105	46	29	34	320	27	73	110
gene18504	457	603	219	523	205	1139	331	213	294	228	89	186	900	238	180	540
gene18505	15	3	0	0	0	0	0	0	1	0	0	7	0	7	0	0
gene18506	139	61	52	99	54	203	69	31	79	54	40	47	243	24	24	83
gene18507	1	11	1	1	1	8	4	2	0	3	2	0	27	2	0	0
gene18508	249	361	115	339	72	582	184	163	178	86	60	120	605	94	73	336
gene18509	1	2	0	1	3	7	0	1	3	8	2	4	0	0	0	9
gene18510	91	108	39	78	14	99	77	46	10	9	3	11	15	5	11	22
gene18511	119	134	65	133	38	316	100	53	64	60	26	42	280	52	43	169
gene18512	0	0	1	0	0	1	0	5	0	1	0	2	4	0	0	3
gene18513	8	19	6	23	6	26	21	10	12	4	3	15	22	6	2	8
gene18514	1950	1923	942	2263	1252	4685	1535	710	1338	875	594	1322	4184	1069	819	1461
gene18515	19	5	0	4	1	0	3	6	2	3	3	6	32	0	1	0
gene18516	62	69	35	75	39	257	44	60	96	70	28	56	305	31	24	89
gene18517	12439	12645	4125	11362	4600	27574	6706	4421	9043	4458	3202	3846	26144	3685	1838	9340
gene18518	53	22	17	43	17	100	17	28	19	24	2	7	50	11	8	31
gene18519	72	141	28	101	14	67	62	40	27	18	18	56	181	34	17	83
gene18520	17	13	17	14	4	5	7	7	12	10	1	13	33	1	6	12
gene18521	516	563	177	457	280	882	330	308	263	193	114	338	1025	159	166	450
gene18522	325	326	93	349	137	770	283	153	29	24	9	27	95	16	20	54
gene18523	100	139	71	159	53	172	91	43	41	32	9	54	201	61	27	74
gene18524	22	46	3	11	8	32	9	8	7	17	12	8	64	18	9	42
gene18525	18542	19842	10341	16208	8196	41096	11112	8363	9319	5783	3624	10240	28108	5875	3873	21376
gene18526	37	44	19	23	19	44	37	34	10	20	10	25	109	7	19	25
gene18527	80	73	70	102	85	265	88	78	52	23	17	64	265	36	21	80
gene18528	1816	2392	995	3123	1158	5111	1316	1001	1617	778	480	1158	5844	737	820	2098
gene18529	415	640	163	471	127	751	232	162	250	146	104	219	652	97	106	365
gene18530	2	25	2	6	0	31	1	0	2	2	1	14	5	0	1	2
gene18531	40	86	27	68	24	194	53	45	43	34	28	16	290	22	20	77
gene18532	62	20	31	37	9	89	28	25	29	3	12	12	151	19	24	57
gene18533	72	80	30	54	31	137	33	49	44	17	16	57	167	15	16	69
gene18534	560	523	282	462	275	1692	348	194	42	35	15	65	166	25	23	65
gene18535	8	2	0	4	2	1	9	1	2	0	0	0	3	0	8	0
gene18536	2	11	3	1	1	5	4	0	1	0	1	2	45	0	0	9
gene18537	74031	67501	25238	50668	22539	109451	28509	26783	34545	23324	13245	26791	131741	19863	18505	75415
gene18538	17	69	21	32	7	38	16	15	19	24	4	13	53	27	29	61
gene18539	63	123	45	137	68	195	101	87	111	42	20	39	172	29	37	110
gene18540	43	62	22	46	21	202	47	25	40	6	10	1	31	3	2	26
gene18541	46	108	33	67	21	96	52	29	124	173	86	172	454	115	138	162
gene18542	6839	6557	2375	6128	2202	11881	4314	2559	3402	2807	1295	2950	13688	1984	1618	4802
gene18543	52	157	17	80	14	57	23	38	47	34	20	14	155	35	17	50
gene18544	220	114	56	164	60	229	124	48	411	209	182	340	1459	172	152	801
gene18545	23	14	5	23	10	87	11	10	22	5	4	10	43	3	8	37
gene18546	146	225	57	163	81	272	117	77	89	48	20	66	212	44	57	121
gene18547	55	87	15	60	23	41	29	21	36	20	11	14	125	15	22	37
gene18548	1	0	4	15	5	9	1	2	12	1	0	7	16	5	3	2
gene18549	338	244	147	222	179	630	187	137	236	125	101	183	635	143	56	373
gene18550	2736	2700	1110	2587	1084	4554	1990	1197	1648	874	633	1041	5740	854	881	2598
gene18551	106	154	48	145	99	361	109	81	216	112	37	76	433	41	68	182
gene18552	19	12	9	24	11	41	30	15	11	4	1	18	28	5	9	15
gene18553	3	19	9	22	10	37	34	3	14	14	6	3	85	8	16	19
gene18554	370	318	212	429	140	752	258	171	205	187	92	231	741	133	155	312
gene18555	272	252	87	175	116	456	176	149	144	102	80	139	448	45	75	261
gene18556	123	84	30	88	27	232	74	60	87	37	15	58	329	64	45	105
gene18557	19	29	18	3	12	94	7	13	27	46	11	47	281	6	29	27
gene18558	464	450	112	328	234	676	244	158	268	143	133	241	846	112	111	342
gene18559	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2
gene18560	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0
gene18561	12823	23713	6867	18206	7795	32946	12945	9078	10505	6888	3513	9267	36294	4900	6089	16068
gene18562	4	1	0	11	2	35	1	2	0	1	0	8	4	2	3	5
gene18563	71	84	54	66	35	75	27	33	39	43	11	26	110	40	9	82
gene18564	85	79	27	110	59	158	102	46	80	40	22	29	204	27	21	85
gene18565	0	6	0	5	0	46	1	0	1	7	3	0	4	1	2	5
gene18566	610	536	276	420	205	926	302	160	313	274	182	236	924	131	150	522
gene18567	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
gene18568	23	107	50	37	49	216	57	20	39	22	22	39	99	23	21	115
gene18569	5	13	0	18	12	68	2	1	2	5	3	0	3	4	0	2
gene18570	13	47	1	31	11	14	33	37	8	9	9	22	13	17	9	11
gene18571	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0
gene18572	6	2	3	3	0	1	0	4	39	31	11	112	45	3	14	28
gene18573	8	5	7	12	3	11	1	2	6	2	1	4	6	4	1	11
gene18574	111	231	47	191	65	333	113	54	64	41	23	71	148	26	64	222
gene18575	12	18	16	9	6	28	11	4	8	4	6	14	12	9	7	12
gene18576	9	12	6	19	5	10	0	23	5	1	4	1	2	9	5	7
gene18577	119	103	62	96	47	226	68	41	272	148	138	252	1016	82	113	582
gene18578	10	2	2	0	0	0	0	1	9	1	0	1	1	0	3	2
gene18579	110	177	24	94	69	290	69	71	77	39	21	72	212	61	25	74
gene18580	2	0	1	8	1	2	2	1	1	2	0	0	75	5	2	11
gene18581	2	15	0	30	0	8	1	2	0	0	1	0	2	0	1	0
gene18582	92	127	28	115	40	345	80	49	66	68	68	36	295	23	38	145
gene18583	0	2	0	10	1	5	5	4	7	4	0	0	5	4	0	1
gene18584	1734	1944	438	1637	516	2919	1216	795	865	631	350	846	2819	505	402	1238
gene18585	0	25	1	0	0	5	0	2	3	5	0	0	1	9	0	4
gene18586	579	678	308	624	357	968	616	321	334	269	186	298	1201	174	203	628
gene18587	20	71	30	101	22	103	48	19	58	12	18	46	169	22	34	97
gene18588	216	291	95	214	90	474	138	48	158	74	48	131	386	85	62	199
gene18589	7	25	3	2	2	14	2	3	4	1	3	0	13	0	1	29
gene18590	891	1490	668	1132	490	2170	755	494	594	390	384	626	2966	491	306	962
gene18591	330	456	148	289	135	550	203	122	220	92	55	171	378	82	92	248
gene18592	14	8	8	1	1	27	4	4	0	0	1	0	6	1	3	9
gene18593	109	99	33	123	27	207	36	70	70	54	25	58	142	18	27	63
gene18594	0	12	1	2	9	38	1	3	0	6	1	0	0	5	1	24
gene18595	54	48	26	68	12	120	38	51	37	30	14	24	93	27	9	61
gene18596	282	363	128	312	122	630	262	126	148	95	69	156	707	91	98	244
gene18597	283	216	86	199	108	644	214	101	159	73	57	103	397	92	81	176
gene18598	970	723	319	768	329	1193	369	261	407	154	218	362	1212	241	186	575
gene18599	6	3	4	6	0	9	4	0	0	0	0	9	16	1	0	1
gene18600	4	10	2	12	0	0	12	4	2	2	2	0	48	1	1	3
gene18601	1883	1489	535	2063	688	2952	1099	626	760	626	343	828	3081	593	366	1222
gene18602	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
gene18603	95	39	18	25	29	128	14	24	19	29	6	21	101	8	11	43
gene18604	321	322	97	196	136	482	213	73	139	85	81	119	464	60	80	296
gene18605	269	326	137	246	110	595	141	101	111	167	59	149	468	72	60	268
gene18606	7	5	0	1	0	33	5	3	0	8	2	4	20	1	3	7
gene18607	36	9	9	45	11	75	12	12	1	0	1	5	11	1	0	6
gene18608	15	24	7	30	20	77	13	7	1	5	9	6	18	8	9	8
gene18609	32	6	1	9	1	37	25	1	2	7	4	1	15	8	0	54
gene18610	440	526	173	626	160	1039	311	242	261	136	145	244	821	171	169	514
gene18611	6	0	3	7	0	8	4	0	15	5	0	13	11	10	9	2
gene18612	1776	1828	689	1942	769	3740	1361	909	961	597	386	620	3487	516	643	1479
gene18613	6	0	0	1	5	0	0	0	0	2	0	0	5	0	3	0
gene18614	258	254	139	187	95	361	157	109	137	81	30	135	334	54	70	207
gene18615	81	85	52	106	55	288	122	46	34	36	46	20	100	31	44	126
gene18616	6479	7870	3860	5044	2791	13607	4427	3038	4651	2865	1567	2987	14030	2473	2225	7059
gene18617	3	0	0	12	3	1	6	0	1	0	0	6	0	2	0	4
gene18618	217	387	100	176	65	277	121	90	16	27	19	27	103	12	24	32
gene18619	101	101	39	86	41	189	25	22	70	27	10	59	165	16	28	83
gene18620	5155	7194	2519	5360	2199	11839	4164	3096	3439	1881	1346	3527	11590	2468	1703	5751
gene18621	12564	18462	7762	10927	7322	29158	9312	5502	9500	5867	3821	8931	40399	5176	3651	14846
gene18622	267795	337471	128873	308219	103488	581210	159235	95705	164905	137843	66853	120263	533786	86219	78468	249968
gene18623	96	130	38	95	31	202	47	52	50	40	21	36	178	19	40	73
gene18624	2179	2195	829	1888	870	2992	1459	751	858	657	612	929	4232	682	505	1820
gene18625	182	126	94	125	65	242	120	85	87	53	38	108	333	57	54	171
gene18626	20045	26410	7543	22353	8457	47866	13161	7781	12109	6911	3763	11731	36910	6155	4403	18036
gene18627	58	111	26	20	55	138	50	24	114	104	42	74	389	45	92	218
gene18628	98	137	34	84	20	139	89	28	58	39	14	20	66	8	11	92
gene18629	952	987	482	1099	511	2299	714	472	492	417	298	481	2040	347	260	910
gene18630	146	159	64	199	76	420	82	54	79	47	81	90	276	44	34	159
gene18631	349	545	178	426	168	907	244	171	236	85	73	188	571	115	59	202
gene18632	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene18633	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene18634	491	704	159	454	208	803	223	210	269	204	86	214	1115	112	104	417
gene18635	107	193	60	53	39	131	56	64	76	32	23	39	212	50	21	57
gene18636	521	791	221	627	281	1360	408	210	403	269	177	269	1346	234	133	599
gene18637	241808	234082	100221	269835	126110	517759	154782	113711	130130	134252	54742	130326	444502	93750	60069	265285
gene18638	179	120	87	104	53	117	73	47	79	43	27	88	195	53	33	138
gene18639	155	218	85	89	52	281	117	73	101	66	37	97	423	48	58	209
gene18640	0	0	12	3	6	14	6	1	1	8	2	1	3	2	3	5
gene18641	98	144	61	99	57	202	77	48	78	68	41	87	213	32	28	74
gene18642	10	23	21	42	6	95	7	17	13	14	3	12	31	6	5	26
gene18643	1494	2140	709	1656	968	2666	921	505	983	688	448	812	3189	536	658	1743
gene18644	3	16	0	0	1	3	2	8	7	0	2	3	26	1	3	8
gene18645	7	5	1	8	3	16	5	7	3	3	1	5	18	1	1	1
gene18646	2787	2508	1005	2602	992	4450	1732	775	1717	976	735	1039	5023	552	645	2360
gene18647	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
gene18648	21	56	4	24	10	63	18	18	9	7	19	11	42	18	4	23
gene18649	47	48	36	33	28	110	30	24	33	18	11	22	131	25	13	57
gene18650	44	44	8	45	12	70	5	12	36	32	5	24	114	14	9	39
gene18651	30	49	23	41	14	116	20	11	30	1	4	19	137	12	16	35
gene18652	130	215	57	273	69	517	98	69	130	97	42	70	386	55	46	278
gene18653	155	236	83	114	47	290	102	69	128	43	31	51	339	41	29	115
gene18654	34	46	23	64	8	78	58	12	114	157	69	99	512	83	76	255
gene18655	3018	2757	935	2698	1206	6275	1463	1086	1611	1120	503	1303	4821	1113	913	1894
gene18656	48	33	11	35	15	23	10	11	11	8	2	3	47	7	9	25
gene18657	1751	1800	750	1698	610	3208	892	720	973	561	259	874	3737	668	595	1353
gene18658	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0
gene18659	407	526	155	493	211	810	317	157	338	193	148	218	999	154	136	398
gene18660	0	0	0	2	0	9	10	0	0	1	0	0	0	0	0	3
gene18661	217	291	85	188	78	408	163	119	249	89	53	121	692	113	93	244
gene18662	74	126	20	77	58	145	37	40	228	88	101	161	726	127	75	410
gene18663	106	86	30	63	26	187	85	5	40	24	7	26	205	10	36	56
gene18664	1438	1723	722	1260	589	3006	1220	570	644	520	415	779	2847	384	436	1547
gene18665	200	243	83	246	100	366	159	97	540	347	334	757	1779	495	468	1294
gene18666	199	144	47	93	56	257	97	58	64	49	24	52	285	43	30	152
gene18667	257	274	145	190	127	395	143	80	134	97	48	164	538	91	49	325
